Faculty_ID,Faculty_Name,Committee_Participation,Academic_Leadership_Roles,Mentorship_Activities_Count,Department_Meetings_Attended,Conference_Organization_Count,Department
FAC102,Chico Mungane,3,Senior Sales Associate,10,7,3,Electronics
FAC103,Chilton Assur,3,Executive Secretary,10,7,3,Computer Science
FAC104,Christel Devonshire,3,Structural Engineer,10,7,3,Mechanical Engineering
FAC105,Christiano Egginton,3,Nuclear Power Engineer,10,7,3,Computer Science
FAC106,Christy Spollen,3,Environmental Tech,10,7,3,Computer Science
FAC107,Chrisy Herche,3,Staff Accountant II,10,7,3,Electronics
FAC108,Chucho Muscroft,3,Help Desk Technician,10,7,3,Mechanical Engineering
FAC109,Cindie Klosterman,3,Payment Adjustment Coordinator,10,7,3,Civil
FAC110,Claiborne Bucknall,3,Paralegal,10,7,3,Electronics
FAC111,Claus Pennycock,3,Administrative Officer,10,7,3,Computer Science
FAC112,Clem Grey,3,Sales Representative,10,7,3,Civil
FAC113,Coralie Tissington,3,Executive Secretary,10,7,3,Computer Science
FAC114,Corina Gerard,3,Help Desk Technician,10,7,3,Electronics
FAC115,Cornelius Chaim,2,Senior Sales Associate,10,7,3,Computer Science
FAC116,Cornelius Dallyn,2,Executive Secretary,10,7,3,Civil
FAC117,Cosetta Simmank,2,Structural Engineer,10,7,3,Mechanical Engineering
FAC118,Cosme Fley,2,Nuclear Power Engineer,10,7,3,Civil
FAC119,Creigh Endrighi,2,Environmental Tech,10,7,3,Computer Science
FAC120,Cris Rubrow,2,Staff Accountant II,10,7,3,Electronics
FAC121,Crista Blaszczynski,2,Help Desk Technician,10,7,3,Computer Science
FAC122,Cyb Grinaway,2,Payment Adjustment Coordinator,10,6,3,Mechanical Engineering
FAC123,Dacy Gronowe,2,Paralegal,10,6,3,Mechanical Engineering
FAC124,Dag Skerman,2,Administrative Officer,10,6,3,Mechanical Engineering
FAC125,Dalenna Guisby,2,Sales Representative,10,6,3,Civil
FAC126,Dannel Jackways,2,Executive Secretary,10,6,3,Electronics
FAC127,Darcy Berrygun,2,Help Desk Technician,10,6,3,Electronics
FAC128,D'arcy Brahmer,2,Senior Sales Associate,10,6,3,Computer Science
FAC129,Daryl Towne,2,Executive Secretary,10,6,3,Computer Science
FAC130,Davina Strickland,2,Structural Engineer,10,6,3,Electronics
FAC131,Deane Grabban,2,Nuclear Power Engineer,10,6,3,Mechanical Engineering
FAC132,Debi Scinelli,2,Environmental Tech,10,6,3,Computer Science
FAC133,Delila Loukes,2,Staff Accountant II,10,6,3,Mechanical Engineering
FAC134,Delora Cudbertson,2,Help Desk Technician,10,6,3,Civil
FAC135,Desmond Dalbey,2,Payment Adjustment Coordinator,10,6,3,Mechanical Engineering
FAC136,Desmund Nazaret,2,Paralegal,10,6,3,Electronics
FAC137,Dew Tebbs,2,Administrative Officer,10,6,3,Mechanical Engineering
FAC138,Diahann Ollerenshaw,2,Sales Representative,10,6,3,Electronics
FAC139,Dietrich Ianniello,2,Executive Secretary,10,6,3,Mechanical Engineering
FAC140,Dill Bottini,2,Help Desk Technician,10,6,3,Mechanical Engineering
FAC141,Dino Rockell,2,Senior Sales Associate,10,6,3,Computer Science
FAC142,Dody Bool,2,Executive Secretary,10,5,3,Civil
FAC143,Domini O' Meara,2,Structural Engineer,10,5,3,Mechanical Engineering
FAC144,Dominique Cheales,2,Nuclear Power Engineer,10,5,3,Mechanical Engineering
FAC145,Donnie D'Costa,2,Environmental Tech,10,5,3,Mechanical Engineering
FAC146,Doralyn Balston,2,Staff Accountant II,10,5,3,Civil
FAC147,Doro Hiddersley,2,Help Desk Technician,10,5,3,Computer Science
FAC148,Dorthea Pamphilon,2,Payment Adjustment Coordinator,10,5,3,Mechanical Engineering
FAC149,Dotti Jovanovic,2,Paralegal,10,5,3,Computer Science
FAC150,Doug Youings,2,Administrative Officer,10,5,3,Mechanical Engineering
FAC151,Drake Riggoll,2,Sales Representative,10,5,3,Electronics
FAC152,Dru Hovell,2,Executive Secretary,10,5,3,Civil
FAC153,Duff McCrea,2,Help Desk Technician,10,5,3,Mechanical Engineering
FAC154,Dulcie Cumpsty,2,Senior Sales Associate,10,5,3,Electronics
FAC155,Dynah Kubasek,2,Executive Secretary,10,5,3,Civil
FAC156,Earlie Lovick,2,Structural Engineer,10,5,3,Computer Science
FAC157,Edgar Gantz,2,Nuclear Power Engineer,10,5,3,Computer Science
FAC158,Eduino Deadman,2,Environmental Tech,10,5,3,Mechanical Engineering
FAC159,Elana Jellis,2,Staff Accountant II,10,5,3,Electronics
FAC160,Eldredge Strond,2,Help Desk Technician,10,5,3,Computer Science
FAC161,Eleanor Redler,2,Payment Adjustment Coordinator,10,5,3,Civil
FAC162,Elinore Ledwich,2,Paralegal,10,5,3,Electronics
FAC163,Elizabeth McGoogan,2,Administrative Officer,10,4,3,Civil
FAC164,Ellen Swinglehurst,2,Sales Representative,10,4,3,Civil
FAC165,Elli Stealey,2,Executive Secretary,10,4,3,Computer Science
FAC166,Emery Bluck,2,Help Desk Technician,10,4,3,Computer Science
FAC167,Emmalyn Glanester,2,Senior Sales Associate,10,4,3,Electronics
FAC168,Emmet Romagosa,2,Executive Secretary,10,4,3,Computer Science
FAC169,Englebert Ellwand,2,Structural Engineer,10,4,3,Computer Science
FAC170,Ephrayim Doddemeade,2,Nuclear Power Engineer,10,4,3,Computer Science
FAC171,Erina Nevill,2,Environmental Tech,10,4,3,Mechanical Engineering
FAC172,Ermengarde Schukert,2,Staff Accountant II,10,4,3,Electronics
FAC173,Errick Sherel,2,Help Desk Technician,10,4,3,Civil
FAC174,Esme Yanyshev,2,Payment Adjustment Coordinator,10,4,3,Computer Science
FAC175,Esra Chasemore,2,Paralegal,10,4,3,Computer Science
FAC176,Essie Crispe,2,Administrative Officer,10,4,3,Civil
FAC177,Etty Doyle,2,Sales Representative,10,4,3,Mechanical Engineering
FAC178,Evania Parkins,2,Executive Secretary,10,4,3,Electronics
FAC179,Everett Shankland,2,Help Desk Technician,10,4,3,Mechanical Engineering
FAC180,Fanchon Kirdsch,2,Senior Sales Associate,10,4,3,Electronics
FAC181,Farra Burth,2,Executive Secretary,10,4,3,Civil
FAC182,Felizio Greenrodd,2,Structural Engineer,10,4,3,Computer Science
FAC183,Fey Willingham,2,Nuclear Power Engineer,10,4,3,Computer Science
FAC184,Filberte Jeanel,2,Environmental Tech,10,3,3,Electronics
FAC185,Filippa Itzkov,2,Staff Accountant II,10,3,3,Electronics
FAC186,Flin Ricciardelli,2,Help Desk Technician,10,3,3,Electronics
FAC187,Florenza Schneider,2,Payment Adjustment Coordinator,10,3,3,Civil
FAC188,Flynn Bocke,2,Paralegal,10,3,3,Electronics
FAC189,Fran Boundley,2,Administrative Officer,10,3,3,Civil
FAC190,Frankie Phipson,2,Sales Representative,10,3,3,Civil
FAC191,Freddie Ullett,2,Executive Secretary,10,3,3,Computer Science
FAC192,Freddy Bangle,2,Help Desk Technician,10,3,3,Mechanical Engineering
FAC193,Frederigo Westmerland,2,Senior Sales Associate,10,3,3,Computer Science
FAC194,Freeman Igounet,2,Executive Secretary,10,3,3,Mechanical Engineering
FAC195,Galen Burgett,2,Structural Engineer,10,3,3,Mechanical Engineering
FAC196,Garfield Pauel,2,Nuclear Power Engineer,10,3,3,Computer Science
FAC197,Garrik Parkhouse,2,Environmental Tech,10,3,3,Mechanical Engineering
FAC198,Gavrielle Ivakin,2,Staff Accountant II,10,3,3,Computer Science
FAC199,Gay Low,2,Help Desk Technician,10,3,3,Electronics
