Faculty_ID,Faculty_Name,Department,designation,experience_years,Joining_Date,specialization,Profile_Picture
FAC034,Antin Pettican,Mechanical Engineering,Dr,44,01-06-2013,Machine Learning,Blandit.ppt
FAC035,Anton Vasishchev,Electronics,Rev,32,5/25/2009,Embedded Systems,SitAmetDiam.doc
FAC036,Anya Chipperfield,Mechanical Engineering,Dr,9,5/29/2011,Machine Learning,BlanditUltricesEnim.jpeg
FAC037,Archy Crus,Computer Science,Ms,24,09-08-2011,Embedded Systems,OdioCrasMi.mp3
FAC038,Arlen Carbry,Electronics,Dr,12,11/24/2015,Thermodynamics,Curae.mov
FAC039,Arlie Gilbert,Mechanical Engineering,Mrs,14,10/23/2014,Machine Learning,FermentumDonecUt.avi
FAC040,Arlyne Bartolomucci,Mechanical Engineering,Honorable,41,04-08-2013,Embedded Systems,Nulla.avi
FAC041,Armstrong Brennans,Civil,Ms,11,2/22/2011,Embedded Systems,CubiliaCurae.ppt
FAC042,Arne Bellew,Electronics,Mr,36,10/13/2014,Embedded Systems,EstDonec.mpeg
FAC043,Arne Vitte,Computer Science,Mr,45,9/25/2013,Thermodynamics,PlateaDictumst.ppt
FAC044,Arney Balog,Mechanical Engineering,Mrs,24,12/14/2012,Machine Learning,Amet.avi
FAC045,Arnie Czajka,Electronics,Ms,18,10/19/2009,Machine Learning,Semper.jpeg
FAC046,Aubine Cescon,Mechanical Engineering,Mr,3,10/15/2014,Thermodynamics,FuscePosuere.xls
FAC047,Augustine Pendell,Electronics,Ms,45,01-04-2014,Machine Learning,JustoEuMassa.tiff
FAC048,Avie Caley,Civil,Mrs,20,12-04-2015,Embedded Systems,TurpisEgetElit.ppt
FAC049,Babita Fehely,Electronics,Rev,11,6/30/2010,Embedded Systems,SuscipitLigula.ppt
FAC050,Bailey Goosnell,Mechanical Engineering,Mrs,45,3/15/2015,Thermodynamics,AuctorSed.xls
FAC051,Ban Clineck,Electronics,Dr,5,4/13/2014,Embedded Systems,UltricesVel.mp3
FAC052,Barclay Lethardy,Mechanical Engineering,Mr,11,8/21/2010,Thermodynamics,Dis.jpeg
FAC053,Barr Trevna,Electronics,Mr,40,9/28/2015,Embedded Systems,InterdumVenenatis.mp3
FAC054,Barrie Rigler,Electronics,Rev,31,1/31/2012,Thermodynamics,OdioCondimentum.mp3
FAC055,Bastien MacGorrie,Computer Science,Ms,41,05-12-2009,Machine Learning,AnteVivamus.avi
FAC056,Bax Grinham,Mechanical Engineering,Mrs,42,10/25/2009,Embedded Systems,Nibh.jpeg
FAC057,Bax Sames,Electronics,Honorable,8,02-07-2015,Thermodynamics,IdMassa.ppt
FAC058,Beatrix Kas,Civil,Mrs,40,6/20/2014,Thermodynamics,Bibendum.xls
FAC059,Becca Rudham,Computer Science,Rev,23,04-07-2012,Embedded Systems,TempusVivamus.doc
FAC060,Beltran Broe,Electronics,Mr,30,05-10-2016,Embedded Systems,PorttitorIdConsequat.xls
FAC061,Beltran Hegden,Mechanical Engineering,Rev,27,09-02-2012,Machine Learning,PorttitorId.ppt
FAC062,Benjamen Kaplin,Computer Science,Ms,45,04-01-2011,Thermodynamics,JustoLacinia.tiff
FAC063,Bent Yakuntzov,Mechanical Engineering,Mrs,44,1/14/2010,Machine Learning,IpsumPrimis.txt
FAC064,Berkly Gallafant,Electronics,Ms,40,10/26/2009,Embedded Systems,Et.jpeg
FAC065,Bill Wilder,Electronics,Dr,26,8/13/2015,Embedded Systems,Sed.pdf
FAC066,Binnie Sillito,Mechanical Engineering,Dr,31,1/27/2014,Thermodynamics,RhoncusMaurisEnim.gif
FAC067,Blaire Berndsen,Civil,Ms,21,11-05-2014,Thermodynamics,CuraeDonecPharetra.mp3
FAC068,Blayne Stracey,Electronics,Honorable,20,05-08-2010,Thermodynamics,EnimIn.xls
FAC069,Blondell Glanfield,Computer Science,Mrs,46,12/23/2011,Embedded Systems,Ultrices.ppt
FAC070,Blondell Hanson,Electronics,Ms,6,07-11-2008,Embedded Systems,BlanditNonInterdum.tiff
FAC071,Bobbe Giggs,Mechanical Engineering,Honorable,30,4/28/2015,Thermodynamics,In.ppt
FAC072,Bogart Cervantes,Civil,Ms,47,9/18/2015,Machine Learning,PraesentBlandit.mpeg
FAC073,Brande Beilby,Computer Science,Rev,22,12/20/2015,Thermodynamics,ElementumNullamVarius.ppt
FAC074,Brande Guild,Electronics,Ms,16,09-12-2008,Machine Learning,Sed.doc
FAC075,Breanne MacCaffrey,Mechanical Engineering,Rev,42,7/30/2013,Thermodynamics,Felis.ppt
FAC076,Bren Maccrae,Mechanical Engineering,Dr,27,03-07-2016,Machine Learning,LeoPellentesqueUltrices.ppt
FAC077,Brian Rummings,Electronics,Dr,15,02-05-2009,Machine Learning,Odio.avi
FAC078,Briggs Gyngyll,Mechanical Engineering,Mrs,25,9/19/2014,Thermodynamics,Neque.tiff
FAC079,Brinna Fowler,Electronics,Mr,50,12-04-2010,Machine Learning,PurusSit.xls
FAC080,Britteny Tutsell,Electronics,Honorable,15,01-06-2009,Thermodynamics,NisiAtNibh.pdf
FAC081,Broddie D'Angeli,Mechanical Engineering,Rev,9,9/22/2013,Machine Learning,MaurisSitAmet.pdf
FAC082,Bronson Likely,Mechanical Engineering,Mrs,19,5/28/2013,Embedded Systems,Massa.mp3
FAC083,Burgess Tesoe,Electronics,Mr,7,04-12-2010,Machine Learning,LigulaIn.pdf
FAC084,Cale Drohane,Electronics,Ms,27,10/18/2010,Thermodynamics,HacHabitassePlatea.ppt
FAC085,Cam Kynd,Mechanical Engineering,Honorable,3,12/25/2010,Embedded Systems,InSapienIaculis.ppt
FAC086,Camey Dinesen,Electronics,Honorable,15,10-02-2008,Thermodynamics,Quam.txt
FAC087,Carey Dorling,Electronics,Mrs,7,01-04-2011,Thermodynamics,DuiVel.xls
FAC088,Carina Huet,Mechanical Engineering,Ms,34,7/20/2008,Thermodynamics,LuctusEtUltrices.png
FAC089,Carleton Beggin,Computer Science,Dr,32,11-01-2015,Machine Learning,SodalesSed.xls
FAC090,Carleton Heis,Electronics,Dr,5,10-02-2010,Embedded Systems,VelAugueVestibulum.mpeg
FAC091,Carolyn Guiso,Civil,Mrs,37,4/15/2015,Thermodynamics,Libero.xls
FAC092,Casar Bernardt,Electronics,Honorable,31,3/13/2015,Thermodynamics,TellusNulla.pdf
FAC093,Caterina Di Frisco,Electronics,Honorable,20,5/29/2010,Embedded Systems,VestibulumAnte.mov
FAC094,Catherin Tossell,Computer Science,Ms,12,8/27/2015,Thermodynamics,DonecPosuere.mp3
FAC095,Cathi Rosenbaum,Computer Science,Mrs,29,9/16/2009,Machine Learning,AccumsanFelis.mp3
FAC096,Catlin Birdwistle,Computer Science,Mrs,2,12/24/2009,Thermodynamics,QuisAugueLuctus.avi
FAC097,Cayla Davidovici,Computer Science,Mrs,1,6/21/2016,Embedded Systems,ConsectetuerEgetRutrum.ppt
FAC098,Charley Sancias,Computer Science,Rev,9,1/13/2013,Thermodynamics,Et.mp3
FAC099,Chelsey Eddolls,Mechanical Engineering,Dr,11,9/29/2009,Machine Learning,Ipsum.doc
FAC100,Chere Follacaro,Mechanical Engineering,Ms,44,8/29/2011,Embedded Systems,NatoquePenatibus.tiff
FAC101,Cherianne Sier,Computer Science,Ms,8,07-01-2014,Embedded Systems,A.ppt
FAC102,Chico Mungane,Electronics,Mr,37,09-03-2009,Thermodynamics,Quis.pdf
FAC103,Chilton Assur,Computer Science,Mrs,14,10/26/2013,Thermodynamics,PosuereCubilia.avi
FAC104,Christel Devonshire,Mechanical Engineering,Honorable,37,1/25/2011,Machine Learning,EtMagnisDis.pdf
FAC105,Christiano Egginton,Computer Science,Honorable,15,08-12-2012,Machine Learning,AliquetAt.mp3
FAC106,Christy Spollen,Computer Science,Dr,28,12/26/2011,Machine Learning,TinciduntEget.xls
FAC107,Chrisy Herche,Electronics,Dr,14,09-06-2009,Machine Learning,NuncCommodoPlacerat.mp3
FAC108,Chucho Muscroft,Mechanical Engineering,Rev,42,04-12-2016,Machine Learning,SedAnteVivamus.xls
FAC109,Cindie Klosterman,Civil,Dr,48,07-10-2011,Thermodynamics,MassaDonecDapibus.avi
FAC110,Claiborne Bucknall,Electronics,Ms,10,01-08-2014,Thermodynamics,ConsectetuerEgetRutrum.doc
FAC111,Claus Pennycock,Computer Science,Honorable,45,9/23/2015,Machine Learning,QuisOdioConsequat.jpeg
FAC112,Clem Grey,Civil,Mr,10,04-06-2014,Thermodynamics,LoremQuisqueUt.avi
FAC113,Coralie Tissington,Computer Science,Mr,29,05-06-2011,Thermodynamics,CuraeDonecPharetra.doc
FAC114,Corina Gerard,Electronics,Mrs,18,4/27/2014,Machine Learning,EtCommodo.avi
FAC115,Cornelius Chaim,Computer Science,Rev,28,11-07-2011,Embedded Systems,TortorEuPede.xls
FAC116,Cornelius Dallyn,Civil,Rev,29,03-05-2010,Thermodynamics,OdioCurabiturConvallis.xls
FAC117,Cosetta Simmank,Mechanical Engineering,Ms,46,12/22/2011,Machine Learning,InterdumEu.xls
FAC118,Cosme Fley,Civil,Mr,45,10/26/2011,Embedded Systems,NisiAtNibh.tiff
FAC119,Creigh Endrighi,Computer Science,Ms,26,06-08-2013,Thermodynamics,LuctusEtUltrices.tiff
FAC120,Cris Rubrow,Electronics,Dr,24,11-06-2008,Thermodynamics,EuPede.jpeg
FAC121,Crista Blaszczynski,Computer Science,Dr,34,10/23/2011,Embedded Systems,A.avi
FAC122,Cyb Grinaway,Mechanical Engineering,Mrs,4,06-12-2012,Machine Learning,SagittisSapien.avi
FAC123,Dacy Gronowe,Mechanical Engineering,Mrs,33,02-02-2009,Thermodynamics,VenenatisLacinia.gif
FAC124,Dag Skerman,Mechanical Engineering,Ms,34,11/20/2010,Machine Learning,LiberoNam.ppt
FAC125,Dalenna Guisby,Civil,Dr,1,5/31/2014,Embedded Systems,MattisNibhLigula.xls
FAC126,Dannel Jackways,Electronics,Mrs,21,4/17/2014,Thermodynamics,VolutpatQuamPede.doc
FAC127,Darcy Berrygun,Electronics,Dr,20,11-08-2013,Embedded Systems,Orci.ppt
FAC128,D'arcy Brahmer,Computer Science,Mr,9,3/17/2015,Embedded Systems,QuisTortorId.tiff
FAC129,Daryl Towne,Computer Science,Honorable,40,01-11-2010,Machine Learning,TempusVivamusIn.gif
FAC130,Davina Strickland,Electronics,Rev,47,06-09-2014,Machine Learning,Elit.ppt
FAC131,Deane Grabban,Mechanical Engineering,Mr,18,04-05-2010,Embedded Systems,LaciniaEget.avi
FAC132,Debi Scinelli,Computer Science,Dr,7,06-08-2015,Embedded Systems,NullaTempus.jpeg
FAC133,Delila Loukes,Mechanical Engineering,Honorable,27,10/28/2014,Machine Learning,Sit.tiff
FAC134,Delora Cudbertson,Civil,Dr,1,12/17/2014,Embedded Systems,AcEstLacinia.ppt
FAC135,Desmond Dalbey,Mechanical Engineering,Mrs,34,1/25/2015,Embedded Systems,SedMagnaAt.avi
FAC136,Desmund Nazaret,Electronics,Mr,9,2/26/2011,Thermodynamics,DapibusDolor.mp3
FAC137,Dew Tebbs,Mechanical Engineering,Rev,30,2/26/2011,Machine Learning,PellentesqueVolutpat.tiff
FAC138,Diahann Ollerenshaw,Electronics,Ms,46,12/23/2015,Machine Learning,Nisl.avi
FAC139,Dietrich Ianniello,Mechanical Engineering,Dr,10,9/18/2010,Thermodynamics,FaucibusOrci.jpeg
FAC140,Dill Bottini,Mechanical Engineering,Rev,12,01-11-2010,Thermodynamics,EstQuam.tiff
FAC141,Dino Rockell,Computer Science,Dr,32,06-01-2009,Thermodynamics,Vulputate.tiff
FAC142,Dody Bool,Civil,Dr,3,05-11-2015,Embedded Systems,Morbi.tiff
FAC143,Domini O' Meara,Mechanical Engineering,Mr,8,12/20/2015,Thermodynamics,AcNibhFusce.ppt
FAC144,Dominique Cheales,Mechanical Engineering,Honorable,35,01-11-2015,Thermodynamics,Eget.pdf
FAC145,Donnie D'Costa,Mechanical Engineering,Mr,9,12/21/2012,Embedded Systems,Lacinia.xls
FAC146,Doralyn Balston,Civil,Honorable,1,12/27/2013,Embedded Systems,VulputateJustoIn.ppt
FAC147,Doro Hiddersley,Computer Science,Honorable,21,7/14/2008,Embedded Systems,Vulputate.ppt
FAC148,Dorthea Pamphilon,Mechanical Engineering,Dr,3,11-12-2009,Embedded Systems,VehiculaCondimentumCurabitur.avi
FAC149,Dotti Jovanovic,Computer Science,Mrs,16,4/26/2012,Embedded Systems,CrasPellentesque.jpeg
FAC150,Doug Youings,Mechanical Engineering,Ms,33,03-11-2014,Embedded Systems,VolutpatConvallis.pdf
FAC151,Drake Riggoll,Electronics,Ms,1,2/20/2014,Embedded Systems,AeneanAuctor.ppt
FAC152,Dru Hovell,Civil,Mr,37,5/25/2009,Thermodynamics,IntegerPedeJusto.ppt
FAC153,Duff McCrea,Mechanical Engineering,Dr,30,8/22/2010,Thermodynamics,Erat.jpeg
FAC154,Dulcie Cumpsty,Electronics,Rev,6,3/27/2014,Machine Learning,InterdumVenenatisTurpis.ppt
FAC155,Dynah Kubasek,Civil,Mr,18,09-12-2012,Embedded Systems,RisusSemper.mp3
FAC156,Earlie Lovick,Computer Science,Dr,43,6/17/2010,Thermodynamics,EratErosViverra.pdf
FAC157,Edgar Gantz,Computer Science,Mrs,20,10-06-2015,Machine Learning,VolutpatConvallisMorbi.jpeg
FAC158,Eduino Deadman,Mechanical Engineering,Dr,3,7/27/2009,Embedded Systems,Curabitur.avi
FAC159,Elana Jellis,Electronics,Dr,13,3/28/2013,Thermodynamics,DonecUtDolor.jpeg
FAC160,Eldredge Strond,Computer Science,Honorable,40,09-05-2014,Machine Learning,Pede.ppt
FAC161,Eleanor Redler,Civil,Ms,50,10/31/2009,Thermodynamics,AmetNulla.xls
FAC162,Elinore Ledwich,Electronics,Rev,12,4/20/2010,Thermodynamics,MollisMolestieLorem.avi
FAC163,Elizabeth McGoogan,Civil,Ms,25,10/14/2013,Machine Learning,SedAccumsan.avi
FAC164,Ellen Swinglehurst,Civil,Rev,29,9/24/2008,Thermodynamics,ArcuLibero.mp3
FAC165,Elli Stealey,Computer Science,Dr,14,3/31/2014,Thermodynamics,Mauris.png
FAC166,Emery Bluck,Computer Science,Mrs,33,10-08-2012,Machine Learning,EuSapien.mp3
FAC167,Emmalyn Glanester,Electronics,Honorable,50,1/28/2010,Embedded Systems,Suscipit.gif
FAC168,Emmet Romagosa,Computer Science,Mrs,30,11-04-2012,Embedded Systems,Ultrices.tiff
FAC169,Englebert Ellwand,Computer Science,Dr,40,5/19/2013,Thermodynamics,Ut.ppt
FAC170,Ephrayim Doddemeade,Computer Science,Rev,36,2/15/2014,Thermodynamics,Cubilia.gif
FAC171,Erina Nevill,Mechanical Engineering,Ms,27,12-10-2009,Machine Learning,Orci.ppt
FAC172,Ermengarde Schukert,Electronics,Ms,18,10/19/2009,Embedded Systems,UltriciesEu.tiff
FAC173,Errick Sherel,Civil,Ms,23,9/20/2008,Machine Learning,SapienUt.ppt
FAC174,Esme Yanyshev,Computer Science,Dr,31,03-12-2009,Thermodynamics,OrciLuctusEt.mpeg
FAC175,Esra Chasemore,Computer Science,Dr,48,5/27/2009,Thermodynamics,InConsequatUt.doc
FAC176,Essie Crispe,Civil,Mr,43,7/23/2012,Machine Learning,NislVenenatis.jpeg
FAC177,Etty Doyle,Mechanical Engineering,Dr,14,8/29/2012,Machine Learning,Semper.avi
FAC178,Evania Parkins,Electronics,Rev,28,1/28/2009,Machine Learning,Nibh.xls
FAC179,Everett Shankland,Mechanical Engineering,Honorable,22,5/13/2010,Embedded Systems,Non.avi
FAC180,Fanchon Kirdsch,Electronics,Rev,29,09-03-2012,Embedded Systems,EgetElitSodales.xls
FAC181,Farra Burth,Civil,Mrs,44,5/24/2013,Machine Learning,Cras.tiff
FAC182,Felizio Greenrodd,Computer Science,Dr,23,08-09-2011,Embedded Systems,MassaIdNisl.avi
FAC183,Fey Willingham,Computer Science,Dr,1,6/25/2012,Machine Learning,AcNequeDuis.doc
FAC184,Filberte Jeanel,Electronics,Mrs,1,08-08-2008,Machine Learning,NuncRhoncus.avi
FAC185,Filippa Itzkov,Electronics,Rev,23,3/13/2011,Embedded Systems,InSagittis.xls
FAC186,Flin Ricciardelli,Electronics,Ms,22,10/16/2012,Machine Learning,Proin.avi
FAC187,Florenza Schneider,Civil,Mr,40,02-12-2009,Machine Learning,AugueA.ppt
FAC188,Flynn Bocke,Electronics,Mr,15,12-02-2013,Thermodynamics,UtRhoncus.xls
FAC189,Fran Boundley,Civil,Honorable,38,9/21/2012,Embedded Systems,PosuereCubiliaCurae.xls
FAC190,Frankie Phipson,Civil,Rev,36,04-07-2015,Embedded Systems,NequeAenean.xls
FAC191,Freddie Ullett,Computer Science,Honorable,33,04-06-2015,Thermodynamics,Tortor.avi
FAC192,Freddy Bangle,Mechanical Engineering,Mrs,42,12/14/2009,Machine Learning,PorttitorLorem.mp3
FAC193,Frederigo Westmerland,Computer Science,Honorable,18,02-09-2013,Machine Learning,Volutpat.png
FAC194,Freeman Igounet,Mechanical Engineering,Ms,30,9/24/2012,Machine Learning,Lorem.avi
FAC195,Galen Burgett,Mechanical Engineering,Mrs,40,8/17/2014,Thermodynamics,LacusMorbiSem.xls
FAC196,Garfield Pauel,Computer Science,Rev,32,12/15/2009,Embedded Systems,TurpisEgetElit.mp3
FAC197,Garrik Parkhouse,Mechanical Engineering,Mrs,6,5/26/2012,Embedded Systems,Diam.jpeg
FAC198,Gavrielle Ivakin,Computer Science,Mr,21,7/27/2009,Machine Learning,MaecenasPulvinar.ppt
FAC199,Gay Low,Electronics,Mr,19,9/30/2009,Embedded Systems,Curae.avi
